Марка;Ссылка;Цена в $;Цена в UAH;Город
Opel Movano груз. 20202.3TD МТ (125 л.с.) L2H2 3500 FWD;https://auto.ria.com/newauto/auto-opel-movano-gruz-1848706.html;31 172 $;871 800 грн;Хмельницкий
Opel Combo груз. 2020Increased 1.6D MT (105 л.с.) L2H1;https://auto.ria.com/newauto/auto-opel-combo-gruz-1837774.html;19 394 $;542 400 грн;Запорожье
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1848435.html;23 276 $;650 970 грн;Запорожье
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1855128.html;29 141 $;815 000 грн;Киев
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1848788.html;19 308 $;540 000 грн;Киев
Opel Astra J 2020Enjoy 1.4Т АТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1853491.html;17 842 $;499 000 грн;Харьков
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1855908.html;25 026 $;699 900 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1849498.html;25 048 $;700 530 грн;Запорожье
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1820366.html;30 411 $;850 500 грн;Харьков
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1820364.html;24 675 $;690 100 грн;Харьков
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1849435.html;26 840 $;750 650 грн;Запорожье
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1848391.html;20 024 $;560 000 грн;Одесса
Opel Vivaro груз. 2020Essentia 2.0 BlueHDi MT (150 л.с.) L1;https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1855636.html;28 988 $;810 700 грн;Кропивницкий (Кировоград)
Opel Vivaro груз. 2020Essentia Crew Cab 2.0 BlueHDi MT (150 л.с.) L2;https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1855638.html;36 636 $;1 024 600 грн;Кропивницкий (Кировоград)
Opel Movano груз. 20202.3TD МТ (125 л.с.) L2H2 3500 FWD;https://auto.ria.com/newauto/auto-opel-movano-gruz-1849148.html;33 239 $;929 600 грн;Запорожье
